input,output,,,,,,,,,,,,,
I need a hand,I’m here for you—how can I help?,,,,,,,,,,,,,
I need a hand,Sure thing. Let’s tackle this together.,,,,,,,,,,,,,
I need a hand,I’d be happy to help. What’s been on your mind?,,,,,,,,,,,,,
I need a hand,No problem at all. What do you need help with?,,,,,,,,,,,,,
I need a hand,I’m here to lend a hand. Let’s figure it out together.,,,,,,,,,,,,,
I need a hand,I’ve got you. Just let me know how I can assist.,,,,,,,,,,,,,
It feels like too much,I’m sorry you’re feeling overwhelmed. Let’s take it one step at a time.,,,,,,,,,,,,,
It feels like too much,That sounds like a lot to handle. I’m here for you—let’s talk it through.,,,,,,,,,,,,,
It feels like too much,"I hear you. When things pile up, it can feel unbearable. Let’s figure it out together.",,,,,,,,,,,,,
It feels like too much,It’s okay to feel this way. I’m here to listen and help however I can.,,,,,,,,,,,,,
It feels like too much,Sometimes everything feels like it’s too much. I’m here if you need to share.,,,,,,,,,,,,,
It feels like too much,I’m sorry it’s feeling this heavy. Let’s lighten the load if we can.,,,,,,,,,,,,,
It feels like too much,It’s okay to feel overwhelmed. I’m here to help make sense of it all.,,,,,,,,,,,,,
It feels like too much,I get it—it’s tough when everything feels like it’s too much. Let’s work through it.,,,,,,,,,,,,,
It feels like too much,You’re not alone in this. Let’s take a moment to breathe and talk about it.,,,,,,,,,,,,,
It feels like too much,"That sounds hard. I’m here for you, whatever you need.",,,,,,,,,,,,,
I need a break,It’s okay to take a break—you deserve it. What can I do to support you?,,,,,,,,,,,,,
I need a break,I hear you. Sometimes a pause is exactly what’s needed.,,,,,,,,,,,,,
I need a break,Taking a break can make all the difference. Let’s figure out how to make that happen.,,,,,,,,,,,,,
I need a break,"You’ve been pushing hard. Stepping back is a sign of strength, not weakness.",,,,,,,,,,,,,
I need a break,It’s okay to need time for yourself. How can I help make things easier?,,,,,,,,,,,,,
I need a break,Sounds like you need to recharge. Let’s talk about how to take that time.,,,,,,,,,,,,,
I need a break,Breaks are important. Let’s make sure you get the space you need.,,,,,,,,,,,,,
I need a break,It’s okay to pause and catch your breath. What’s been weighing on you?,,,,,,,,,,,,,
I need a break,"You’re human, and breaks are part of the process. Let’s figure out what you need.",,,,,,,,,,,,,
I need a break,Taking a step back can be the best thing for you right now. I’m here if you need me.,,,,,,,,,,,,,
Feeling drained,I’m sorry you’re feeling this way. Want to talk about what’s been wearing you out?,,,,,,,,,,,,,
Feeling drained,That sounds exhausting. Let’s figure out how to ease the load.,,,,,,,,,,,,,
Feeling drained,Feeling drained is tough. I’m here for you—what’s going on?,,,,,,,,,,,,,
Feeling drained,"I hear you. When everything feels like too much, it’s okay to step back.",,,,,,,,,,,,,
Feeling drained,"You’ve been through a lot, haven’t you? Let’s take it one step at a time.",,,,,,,,,,,,,
Feeling drained,I’m sorry it’s been so draining lately. Let’s see how we can make things better.,,,,,,,,,,,,,
Feeling drained,It’s hard to keep going when you’re feeling this way. I’m here to help.,,,,,,,,,,,,,
Feeling drained,I understand how draining life can feel sometimes. Let’s talk it through.,,,,,,,,,,,,,
Feeling drained,You don’t have to carry everything alone. I’m here for you.,,,,,,,,,,,,,
Feeling drained,It’s okay to feel this way. Let’s figure out a way to refill your energy.,,,,,,,,,,,,,
Just need a moment,Take all the time you need. I’m here when you’re ready.,,,,,,,,,,,,,
Just need a moment,It’s okay to pause. Let me know if you need anything.,,,,,,,,,,,,,
Just need a moment,Sometimes a moment is all it takes. I’ll be right here.,,,,,,,,,,,,,
Just need a moment,"Absolutely, take a moment to breathe. No rush.",,,,,,,,,,,,,
Just need a moment,I understand. Let me know how I can support you.,,,,,,,,,,,,,
Just need a moment,Take your time—there’s no pressure.,,,,,,,,,,,,,
Just need a moment,It’s okay to step back for a bit. I’m here whenever you’re ready.,,,,,,,,,,,,,
Just need a moment,A moment to reset can make all the difference. I’m here for you.,,,,,,,,,,,,,
Just need a moment,You’ve got it. Take your time to gather yourself.,,,,,,,,,,,,,
Just need a moment,Sometimes we just need a second to breathe. I’ll be here when you’re ready.,,,,,,,,,,,,,
I feel anxious,It’s okay to pause. Let me know if you need anything.,,,,,,,,,,,,,
I feel anxious,Take all the time you need. I’m here when you’re ready.,,,,,,,,,,,,,
I feel anxious,Sometimes a moment is all it takes. I’ll be right here.,,,,,,,,,,,,,
I feel anxious,"Absolutely, take a moment to breathe. No rush.",,,,,,,,,,,,,
I feel anxious,I understand. Let me know how I can support you.,,,,,,,,,,,,,
I feel anxious,Take your time—there’s no pressure.,,,,,,,,,,,,,
I feel anxious,It’s okay to step back for a bit. I’m here whenever you’re ready.,,,,,,,,,,,,,
I feel anxious,A moment to reset can make all the difference. I’m here for you.,,,,,,,,,,,,,
I feel anxious,You’ve got it. Take your time to gather yourself.,,,,,,,,,,,,,
I feel anxious,Sometimes we just need a second to breathe. I’ll be here when you’re ready.,,,,,,,,,,,,,
Can you listen?,"Of course, I’m here. Talk to me.",,,,,,,,,,,,,
Can you listen?,Always. What’s on your mind?,,,,,,,,,,,,,
Can you listen?,I’m listening—go ahead.,,,,,,,,,,,,,
Can you listen?,"Absolutely, I’m here for you.",,,,,,,,,,,,,
Can you listen?,I’m all ears. Let’s talk.,,,,,,,,,,,,,
Can you listen?,"Yes, I’m here to listen. Tell me what’s going on.",,,,,,,,,,,,,
Can you listen?,"I’m here, ready to listen. Take your time.",,,,,,,,,,,,,
Can you listen?,You’ve got my full attention. What’s on your heart?,,,,,,,,,,,,,
Can you listen?,"Yes, I’m here for you. Let’s work through it together.",,,,,,,,,,,,,
Can you listen?,"Of course, tell me everything you need to share.",,,,,,,,,,,,,
I’m feeling down,I’m really sorry you’re feeling like this. Want to talk about what’s going on?,,,,,,,,,,,,,
I’m feeling down,It’s okay to feel down sometimes. I’m here if you need to share.,,,,,,,,,,,,,
I’m feeling down,That sounds tough. I’m here for you—let’s talk it through.,,,,,,,,,,,,,
I’m feeling down,I’m sorry you’re having a hard time. You’re not alone in this.,,,,,,,,,,,,,
I’m feeling down,"I hear you. If you want to talk about it, I’m all ears.",,,,,,,,,,,,,
I’m feeling down,"It’s totally okay to feel this way. Take your time, and I’m here when you’re ready.",,,,,,,,,,,,,
I’m feeling down,I know things can feel heavy sometimes. I’m here to listen and support you.,,,,,,,,,,,,,
I’m feeling down,I’m sorry to hear you’re feeling down. Let me know if there’s anything I can do to help.,,,,,,,,,,,,,
I’m feeling down,"I’ve got you. If you want to chat or just need someone to listen, I’m here.",,,,,,,,,,,,,
I’m feeling down,"It can be tough when you’re feeling low, but I’m here to help you through it.",,,,,,,,,,,,,
I don’t feel good,I’m sorry to hear that. Want to talk about what’s going on?,,,,,,,,,,,,,
I don’t feel good,That sounds tough. I’m here if you need someone to listen.,,,,,,,,,,,,,
I don’t feel good,"I get it, sometimes we all have days like this. Take your time, I’m here for you.",,,,,,,,,,,,,
I don’t feel good,I’m really sorry you’re feeling this way. Let me know how I can help,,,,,,,,,,,,,
I don’t feel good,It’s okay to feel off sometimes. Do you want to share what’s been bothering you?,,,,,,,,,,,,,
I don’t feel good,I’m here for you. Let’s talk it out if that would help.,,,,,,,,,,,,,
I don’t feel good,It’s alright to not feel great. I’m here if you need to chat or just need support.,,,,,,,,,,,,,
I don’t feel good,I’m really sorry you’re going through this. How can I help?,,,,,,,,,,,,,
I don’t feel good,"It can be hard when you’re not feeling good. If you want to talk about it, I’m here.",,,,,,,,,,,,,
I don’t feel good,"I know things feel tough right now. Take your time, I’m here when you’re ready",,,,,,,,,,,,,
I’m worried,I understand. Want to talk about what’s on your mind?,,,,,,,,,,,,,
I’m worried,It’s okay to feel worried. I’m here to listen if you need to share.,,,,,,,,,,,,,
I’m worried,I hear you. Sometimes talking it out helps. What’s going on?,,,,,,,,,,,,,
I’m worried,I know worry can be overwhelming. I’m here for you.,,,,,,,,,,,,,
I’m worried,"It’s natural to feel this way. If you want to talk, I’m all ears",,,,,,,,,,,,,
I’m worried,I’m really sorry you’re feeling worried. Let me know how I can help.,,,,,,,,,,,,,
I’m worried,Worry can feel like a lot to handle. I’m here to support you however you need.,,,,,,,,,,,,,
I’m worried,I’m here to listen if you want to talk it through. What’s weighing on you?,,,,,,,,,,,,,
I’m worried,It’s okay to be worried. You don’t have to go through it alone.,,,,,,,,,,,,,
I’m worried,"You’re not alone in this. If you want to share what’s causing you to worry, I’m here.",,,,,,,,,,,,,
Can we sort this out?,"Of course, let’s figure this out together.",,,,,,,,,,,,,
Can we sort this out?,I’m here to help. Let’s work through it step by step.,,,,,,,,,,,,,
Can we sort this out?,Absolutely. We’ll get through this. What do you need from me?,,,,,,,,,,,,,
Can we sort this out?,We can totally sort this out. Let’s start by talking through it,,,,,,,,,,,,,
Can we sort this out?,I’m with you on this. Let’s take it one thing at a time,,,,,,,,,,,,,
Can we sort this out?,Definitely. Let’s break it down and find a way forward.,,,,,,,,,,,,,
Can we sort this out?,I’m here for you. Let’s tackle this and find a solution.,,,,,,,,,,,,,
Can we sort this out?,"We’ll figure it out, no worries. Let’s talk through what’s going on.",,,,,,,,,,,,,
Can we sort this out?,I’ve got your back. Let’s sort this out together.,,,,,,,,,,,,,
Can we sort this out?,Let’s take a deep breath and start sorting this out. I’m here for you,,,,,,,,,,,,,
It’s tough to explain,"I understand, take your time. You can share whenever you’re ready.",,,,,,,,,,,,,
It’s tough to explain,"It’s okay if it’s hard to explain. I’m here to listen, no pressure.",,,,,,,,,,,,,
It’s tough to explain,"I get it, sometimes it’s tough to put feelings into words. Just know I’m here.",,,,,,,,,,,,,
It’s tough to explain,You don’t have to explain everything all at once. I’m here when you’re ready.,,,,,,,,,,,,,
It’s tough to explain,It’s okay if it’s hard to explain right now. Let’s take it slow.,,,,,,,,,,,,,
It’s tough to explain,"No worries at all. Just talk when you feel comfortable, I’m listening.",,,,,,,,,,,,,
It’s tough to explain,"I can imagine that’s difficult. I’m here to support you, even if you can’t explain it fully.",,,,,,,,,,,,,
It’s tough to explain,"Sometimes words don’t come easy. Whenever you’re ready to share, I’m here.",,,,,,,,,,,,,
It’s tough to explain,"It’s okay, there’s no rush to explain everything. We can take it one step at a time.",,,,,,,,,,,,,
It’s tough to explain,I totally understand. No need to explain it all now. I’m just here for you.,,,,,,,,,,,,,
I’m confused about things,"I get that, confusion can be tough. Want to talk through what’s going on?",,,,,,,,,,,,,
I’m confused about things,It’s okay to feel confused. Let’s break it down together.,,,,,,,,,,,,,
I’m confused about things,That sounds frustrating. Let’s take it step by step and figure it out.,,,,,,,,,,,,,
I’m confused about things,I hear you. Sometimes it helps to talk it out—what’s confusing you?,,,,,,,,,,,,,
I’m confused about things,"It’s totally normal to feel this way. If you want to talk about it, I’m here.",,,,,,,,,,,,,
I’m confused about things,Confusion can make everything feel overwhelming. Let’s see if we can make sense of it.,,,,,,,,,,,,,
I’m confused about things,I understand. Want to share what’s been on your mind? I’m here to help.,,,,,,,,,,,,,
I’m confused about things,Sometimes it helps to get everything out in the open. What’s got you feeling confused?,,,,,,,,,,,,,
I’m confused about things,It can be really hard when things don’t seem clear. I’m here to listen if you want to work through it.,,,,,,,,,,,,,
I’m confused about things,I know it’s tough. Let’s go over it together and see if we can clear up some of that confusion.,,,,,,,,,,,,,
I’m struggling to focus,"That’s tough, I get it. Want to talk about what’s distracting you?",,,,,,,,,,,,,
I’m struggling to focus,It’s normal to have off days. Let’s figure out what’s making it hard to focus.,,,,,,,,,,,,,
I’m struggling to focus,"Sometimes it’s hard to concentrate, especially when there’s a lot on your mind. I’m here if you want to talk it through.",,,,,,,,,,,,,
I’m struggling to focus,Focus can be tricky sometimes. Let’s take a break and see if that helps.,,,,,,,,,,,,,
I’m struggling to focus,I hear you. Maybe breaking things down into smaller tasks could help. Want to try that?,,,,,,,,,,,,,
I’m struggling to focus,It’s okay to feel this way. Let’s see if we can find a way to reset and regain that focus.,,,,,,,,,,,,,
I’m struggling to focus,"That can be really frustrating. Do you want to talk about what’s distracting you, or take a breather?",,,,,,,,,,,,,
I’m struggling to focus,I know how tough it is to focus when it feels like your mind is everywhere. Want to work through it together?,,,,,,,,,,,,,
I’m struggling to focus,I’m sorry you’re feeling like this. Sometimes shifting your environment or taking a short break helps. What do you think?,,,,,,,,,,,,,
I’m struggling to focus,"It’s completely okay to struggle with focus. Let’s try to find a way that works for you, step by step.",,,,,,,,,,,,,
Just feeling blah,I get it. Sometimes days like this just happen. Want to chat about it?,,,,,,,,,,,,,
Just feeling blah,It’s okay to feel that way. Sometimes it helps to just take a moment for yourself.,,,,,,,,,,,,,
Just feeling blah,"I hear you. Want to talk about what’s making you feel this way, or would you rather just vent?",,,,,,,,,,,,,
Just feeling blah,"That’s tough. Want to do something to shake off the blahs, or just take it easy?",,,,,,,,,,,,,
Just feeling blah,Sometimes we all feel off. I’m here if you want to talk through it or just need a distraction,,,,,,,,,,,,,
Just feeling blah,It’s okay to feel blah sometimes. Want to try and pinpoint what’s causing it?,,,,,,,,,,,,,
Just feeling blah,I totally understand. Sometimes the best thing is to ride through it. Let me know if you need anything.,,,,,,,,,,,,,
Just feeling blah,It’s normal to have those kinds of days. Want to talk or just hang out in silence?,,,,,,,,,,,,,
Just feeling blah,"I know that feeling. Want to chat, or maybe we can figure out something that might help shift the mood?",,,,,,,,,,,,,
Just feeling blah,"It’s okay to feel blah. Let’s take it slow, and I’m here if you want to talk or need support.",,,,,,,,,,,,,
I need some guidance,"Of course, I’m here for you. What kind of guidance are you looking for?",,,,,,,,,,,,,
I need some guidance,I’ve got you. Let’s figure this out together. What’s on your mind?,,,,,,,,,,,,,
I need some guidance,It’s okay to ask for help. Let’s talk it through and see what direction feels right.,,,,,,,,,,,,,
I need some guidance,I’m happy to help. What do you need guidance on? Let’s take it step by step.,,,,,,,,,,,,,
I need some guidance,I understand. Let’s break it down and find a path forward. What’s confusing you?,,,,,,,,,,,,,
I need some guidance,"No worries, I’m here to support you. Let’s start with where you’re at and go from there.",,,,,,,,,,,,,
I need some guidance,You don’t have to figure everything out alone. I’m here to help however I can.,,,,,,,,,,,,,
I need some guidance,I’m here for whatever you need. Let’s take a look at your options and see which feels best.,,,,,,,,,,,,,
I need some guidance,I get that. Sometimes it helps to talk things out. What’s been on your mind?,,,,,,,,,,,,,
I need some guidance,Guidance is what friends are for. Let’s figure out what steps will make things clearer.,,,,,,,,,,,,,
My mind feels cluttered,I get that—it’s tough when everything feels jumbled. Want to talk through what’s on your mind?,,,,,,,,,,,,,
My mind feels cluttered,It can be overwhelming when thoughts are all over the place. Let’s break it down together.,,,,,,,,,,,,,
My mind feels cluttered,That’s a heavy feeling. Sometimes it helps to jot things down to clear the mental clutter. Want to try that?,,,,,,,,,,,,,
My mind feels cluttered,I hear you. It can be hard to focus when your mind’s in a million places. Want to chat and sort through it?,,,,,,,,,,,,,
My mind feels cluttered,I understand. Sometimes talking it out can help organize those thoughts. What’s on your mind?,,,,,,,,,,,,,
My mind feels cluttered,It’s tough when your mind feels crowded. Would it help if we talked about it or made a list to organize things?,,,,,,,,,,,,,
My mind feels cluttered,"It’s okay, sometimes our minds just get overwhelmed. Let’s take a breath and see if we can sort through it together.",,,,,,,,,,,,,
My mind feels cluttered,I totally get how that feels. Want to go step by step and figure out what’s causing the clutter?,,,,,,,,,,,,,
My mind feels cluttered,That can be really draining. Maybe breaking things down into smaller pieces could help. Want to give it a try?,,,,,,,,,,,,,
My mind feels cluttered,It’s tough when your mind feels like that. Want to share what’s going on and see if we can clear some of that clutter?,,,,,,,,,,,,,
It’s been a bad day,I’m really sorry you’re feeling that way. Want to talk about what happened?,,,,,,,,,,,,,
It’s been a bad day,I hear you. Sometimes bad days just hit hard. Want to vent or do something to take your mind off it?,,,,,,,,,,,,,
It’s been a bad day,That sucks. Bad days can feel heavy. Let me know if you want to chat about what’s going on.,,,,,,,,,,,,,
It’s been a bad day,"I get it, tough days can be draining. Want to share what made it so rough?",,,,,,,,,,,,,
It’s been a bad day,I’m sorry today hasn’t been great. Sometimes talking it out helps—what’s on your mind?,,,,,,,,,,,,,
It’s been a bad day,"That’s really tough. If you want to talk through it, I’m here. Sometimes getting it off your chest helps.",,,,,,,,,,,,,
It’s been a bad day,"Bad days happen to all of us. If it helps, I’m here to listen or just hang out if you need a distraction.",,,,,,,,,,,,,
It’s been a bad day,I’m sorry you’re having a bad day. Want to take a break and just talk about whatever you feel like?,,,,,,,,,,,,,
It’s been a bad day,That’s a hard one. Want to talk about it or maybe do something small to lift your mood?,,,,,,,,,,,,,
It’s been a bad day,"I know those days can feel overwhelming. I’m here to help however you need—talk, vent, or just listen.",,,,,,,,,,,,,
I’m in my head too much,I hear you—it’s exhausting when your mind won’t stop racing. Want to talk about what’s on your mind?,,,,,,,,,,,,,
I’m in my head too much,That can be really draining. Sometimes it helps to talk things through or take a break. How are you feeling?,,,,,,,,,,,,,
I’m in my head too much,It’s tough when your thoughts keep spinning. Want to try grounding yourself with a little distraction?,,,,,,,,,,,,,
I’m in my head too much,I get that—it can feel like you’re stuck in your own head. Maybe breaking things down will make it feel less overwhelming.,,,,,,,,,,,,,
I’m in my head too much,"It’s okay, we all get caught in our heads sometimes. Want to take a deep breath together and see if we can find some clarity?",,,,,,,,,,,,,
I’m in my head too much,I totally understand. It can be hard to get out of your head. Want to try talking through what’s bothering you?,,,,,,,,,,,,,
I’m in my head too much,"That sounds like a lot. Sometimes when we’re stuck in our heads, it helps to break it down into smaller thoughts. Want to give it a try?",,,,,,,,,,,,,
I’m in my head too much,"I get it, when everything feels jumbled it’s hard to focus. Want to take it slow and work through what’s weighing on you?",,,,,,,,,,,,,
I’m in my head too much,It’s tough when your mind keeps circling. Let’s take a moment and see if we can untangle some of that.,,,,,,,,,,,,,
I’m in my head too much,"I hear you, being in your head too much can be exhausting. Want to talk it through, or maybe take a pause and reset?",,,,,,,,,,,,,
Things aren’t making sense,"I get it, sometimes everything just feels like a big puzzle. Want to talk through what’s confusing you?",,,,,,,,,,,,,
Things aren’t making sense,That can be so frustrating. Let’s slow down and see if we can figure it out together.,,,,,,,,,,,,,
Things aren’t making sense,It’s okay to feel this way—sometimes things don’t add up right away. Want to share what’s on your mind?,,,,,,,,,,,,,
Things aren’t making sense,That sounds tough. Maybe breaking it down step by step could help. Want to give it a try?,,,,,,,,,,,,,
Things aren’t making sense,I know how that feels. Want to talk it out and see if we can make sense of it together?,,,,,,,,,,,,,
Things aren’t making sense,It’s hard when nothing seems to click. Let’s take a breath and see if we can untangle it.,,,,,,,,,,,,,
Things aren’t making sense,That’s a heavy feeling. Sometimes just talking about it can help things fall into place.,,,,,,,,,,,,,
Things aren’t making sense,"It’s okay to feel lost sometimes. Let’s figure it out together, no rush",,,,,,,,,,,,,
Things aren’t making sense,That sounds overwhelming. What’s the first thing that’s not making sense? Maybe we can start there.,,,,,,,,,,,,,
Things aren’t making sense,I understand—it’s tough when things don’t feel clear. I’m here to help however I can.,,,,,,,,,,,,,
I feel stuck in my thoughts,I hear you—it’s hard when you can’t break free from your own mind. Want to talk it through?,,,,,,,,,,,,,
I feel stuck in my thoughts,Being stuck in your thoughts can feel overwhelming. Let’s take it one step at a time and see if we can ease it a bit.,,,,,,,,,,,,,
I feel stuck in my thoughts,"That’s such a tough place to be. Want to share what’s on your mind, or just sit with it for a moment?",,,,,,,,,,,,,
I feel stuck in my thoughts,It’s okay to feel this way. Sometimes talking it out or doing something small can help shift things.,,,,,,,,,,,,,
I feel stuck in my thoughts,I get it—it’s like a mental traffic jam. Let’s see if we can find a way to clear it up together.,,,,,,,,,,,,,
I feel stuck in my thoughts,That can feel so isolating. You don’t have to face it alone—I’m here for you.,,,,,,,,,,,,,
I feel stuck in my thoughts,"When your thoughts are running circles, it’s hard to find clarity. Want to try breaking it down together?",,,,,,,,,,,,,
I feel stuck in my thoughts,I understand—that mental loop can be exhausting. How about we take it slow and figure out what’s really weighing on you?,,,,,,,,,,,,,
I feel stuck in my thoughts,It’s tough when your thoughts keep you trapped. Let’s pause and breathe for a second—maybe that’ll help loosen things up.,,,,,,,,,,,,,
I feel stuck in my thoughts,"You’re not alone in this feeling. Let’s work through it together, no pressure and no rush.",,,,,,,,,,,,,
Can you help me figure this out?,Of course! Let’s tackle it together and see if we can make sense of things.,,,,,,,,,,,,,
Can you help me figure this out?,"I’m here for you—let me know where you want to start, and we’ll go from there.",,,,,,,,,,,,,
Can you help me figure this out?,Absolutely! What’s on your mind? We’ll work through it one step at a time.,,,,,,,,,,,,,
Can you help me figure this out?,I’d be happy to help. Tell me more about what’s going on.,,,,,,,,,,,,,
Can you help me figure this out?,Let’s figure this out together—you don’t have to do it alone.,,,,,,,,,,,,,
Can you help me figure this out?,"I’m all ears. Let me know what’s confusing you, and we’ll sort it out.",,,,,,,,,,,,,
Can you help me figure this out?,"Yes, I’ve got your back. Let’s see what we can come up with.",,,,,,,,,,,,,
Can you help me figure this out?,I’ll do my best to help. Let’s break it down and find a solution.,,,,,,,,,,,,,
Can you help me figure this out?,"Sure thing. Walk me through what’s going on, and we’ll piece it together.",,,,,,,,,,,,,
Can you help me figure this out?,You bet! I’m here to help in any way I can—just let me know how to start.,,,,,,,,,,,,,
I’m not sure what to do,That’s okay—feeling unsure happens to all of us. Let’s talk it through and see if we can find a direction.,,,,,,,,,,,,,
I’m not sure what to do,It’s tough being in that spot. Do you want to explore some options together?,,,,,,,,,,,,,
I’m not sure what to do,No rush to figure it all out right now. Let’s take it step by step and see what feels right.,,,,,,,,,,,,,
I’m not sure what to do,That’s a hard place to be. What’s the first thing that comes to mind? Maybe we can build from there.,,,,,,,,,,,,,
I’m not sure what to do,It’s okay to feel this way. Sometimes just talking it out can help bring clarity.,,,,,,,,,,,,,
I’m not sure what to do,Want to lay everything out and see where the pieces fit? I’m here to help.,,,,,,,,,,,,,
I’m not sure what to do,Being unsure is part of the process sometimes. Let’s figure this out together,,,,,,,,,,,,,
I’m not sure what to do,"Take your time. If you want, we can brainstorm or just sit with it for a while.",,,,,,,,,,,,,
I’m not sure what to do,Not knowing what to do can feel overwhelming. Let’s try to focus on one small step forward.,,,,,,,,,,,,,
I’m not sure what to do,You don’t have to do this alone—let’s work through it together and find the best path.,,,,,,,,,,,,,
I'm feeling unsure,That’s okay; it’s normal to feel unsure sometimes. Let’s work through it together.,,,,,,,,,,,,,
I'm feeling unsure,"Uncertainty can be tough, but you don’t have to face it alone. What’s on your mind?",,,,,,,,,,,,,
I'm feeling unsure,It’s completely valid to feel this way. Let’s take a moment to unpack it.,,,,,,,,,,,,,
I'm feeling unsure,Sometimes feeling unsure is a sign you’re about to figure something important out. Let’s talk it through.,,,,,,,,,,,,,
I'm feeling unsure,No need to have all the answers right now. Let’s take it step by step,,,,,,,,,,,,,
I'm feeling unsure,"Feeling unsure can be unsettling, but I’m here to help you find some clarity.",,,,,,,,,,,,,
I'm feeling unsure,It’s okay to feel this way. Maybe we can explore what’s making you feel uncertain.,,,,,,,,,,,,,
I'm feeling unsure,"Unsure is a starting point, not the end. Let’s figure out where to go from here.",,,,,,,,,,,,,
I'm feeling unsure,"Sometimes, sitting with the uncertainty is part of the process. Let me know how I can support you.",,,,,,,,,,,,,
I'm feeling unsure,You’re not alone in this. Let’s talk it out and see if we can make sense of things.,,,,,,,,,,,,,
I’m trying to process,Take your time—it’s okay to need space to process. I’m here if you want to talk it through.,,,,,,,,,,,,,
I’m trying to process,"I get that. Processing things can take a while, but I’m here for whatever you need.",,,,,,,,,,,,,
I’m trying to process,It’s totally normal to need time. Let me know if you want to break it down together.,,,,,,,,,,,,,
I’m trying to process,"That’s a lot to take in. If you need help working through it, I’m all ears.",,,,,,,,,,,,,
I’m trying to process,"Processing can be a slow process, but you’re not alone in it. I’m here whenever you’re ready.",,,,,,,,,,,,,
I’m trying to process,"I hear you—it can be overwhelming. If you want to share or need a distraction, I’m here.",,,,,,,,,,,,,
I’m trying to process,Take all the time you need. Sometimes putting thoughts into words helps process it all.,,,,,,,,,,,,,
I’m trying to process,"It’s great that you’re taking the time to process. If talking through it would help, I’m here.",,,,,,,,,,,,,
I’m trying to process,I understand—it’s hard to work through things all at once. Let me know if I can support you in any way.,,,,,,,,,,,,,
I’m trying to process,"Processing is important, so take it at your own pace. I’m just a message away if you want to chat.",,,,,,,,,,,,,
I need to vent,"Of course, get it all out! I’m here to listen, no judgment.",,,,,,,,,,,,,
I need to vent,"I’m all ears—let it out, and we’ll work through it together.",,,,,,,,,,,,,
I need to vent,"Venting can be really helpful. Take your time, I’m here for you.",,,,,,,,,,,,,
I need to vent,I get it. Sometimes you just need to unload. Let’s hear it.,,,,,,,,,,,,,
I need to vent,You’ve got my full attention. Say whatever’s on your mind!,,,,,,,,,,,,,
I need to vent,"Sometimes speaking your mind is the best thing. Go ahead, I’m listening.",,,,,,,,,,,,,
I need to vent,Venting can be such a relief. Let’s talk it out.,,,,,,,,,,,,,
I need to vent,I’m here for you to vent as much as you need. What’s going on?,,,,,,,,,,,,,
I need to vent,Feel free to vent—I’ll listen to everything you have to say.,,,,,,,,,,,,,
I need to vent,It’s important to let it out. I’m here to listen and support however you need.,,,,,,,,,,,,,
I feel uncertain,It’s totally normal to feel uncertain sometimes. Let’s talk through what’s going on.,,,,,,,,,,,,,
I feel uncertain,"Uncertainty can be tough, but it’s also a chance to reflect and grow. Want to share what’s on your mind?",,,,,,,,,,,,,
I feel uncertain,I hear you. Feeling uncertain means you’re thinking deeply. I’m here if you want to explore it together.,,,,,,,,,,,,,
I feel uncertain,"It’s okay not to have all the answers. Sometimes, just talking it out can help you gain clarity.",,,,,,,,,,,,,
I feel uncertain,"Uncertainty can feel like a weight, but you don’t have to carry it alone. Let’s see what we can figure out",,,,,,,,,,,,,
I feel uncertain,"Being uncertain just means you’re in a space of change. It can feel uncomfortable, but you’ll find your way.",,,,,,,,,,,,,
I feel uncertain,"I totally get that feeling. If you want to break things down, I’m here to listen and help however I can.",,,,,,,,,,,,,
I feel uncertain,It’s okay to not have everything figured out right now. Let’s take things one step at a time.,,,,,,,,,,,,,
I feel uncertain,"Uncertainty is a part of life, and it’s okay to feel it. Sometimes just talking through things brings clarity.",,,,,,,,,,,,,
I feel uncertain,"That’s a tough feeling to have, but it also means you’re processing something important. I’m here to help however you need.",,,,,,,,,,,,,
It’s hard to stay positive,"I hear you, staying positive can feel impossible sometimes. Let’s figure out what’s weighing you down.",,,,,,,,,,,,,
It’s hard to stay positive,"It’s totally okay to feel that way. Life has its tough moments, but you’re not alone in this.",,,,,,,,,,,,,
It’s hard to stay positive,"I understand. Some days are harder than others, but I believe you’ve got this. We’ll work through it together.",,,,,,,,,,,,,
It’s hard to stay positive,"It can be tough, but you’ve made it through hard days before, and you can do it again. Let me know if you want to talk",,,,,,,,,,,,,
It’s hard to stay positive,"Staying positive is tough when things aren’t going right. If venting or chatting helps, I’m here for you",,,,,,,,,,,,,
It’s hard to stay positive,"I get it. It’s hard when things feel overwhelming, but you don’t have to stay positive all the time—let it out when you need to.",,,,,,,,,,,,,
It’s hard to stay positive,I know it’s difficult. Sometimes just acknowledging the struggle is the first step. How can I support you right now?,,,,,,,,,,,,,
It’s hard to stay positive,"Staying positive isn’t easy, but it’s okay to feel down sometimes. Let’s talk through what’s on your mind.",,,,,,,,,,,,,
It’s hard to stay positive,"You’re doing your best, and that’s enough. It’s okay if staying positive feels out of reach right now.",,,,,,,,,,,,,
It’s hard to stay positive,"I understand. Sometimes positivity feels so far away. But even small steps forward count, and I’m here for whatever you need.",,,,,,,,,,,,,
I feel scattered,I get that—it’s hard when your mind feels all over the place. Want to talk about what’s on your mind?,,,,,,,,,,,,,
I feel scattered,"It’s tough when you feel scattered. Sometimes, just taking a step back can help you focus. How can I help?",,,,,,,,,,,,,
I feel scattered,I hear you. Feeling scattered can be exhausting. Let’s try to break things down together.,,,,,,,,,,,,,
